A,2020-11-23,Oct 2020,0.91,0.98,0.07,7.6
AAL,2020-10-22,Sep 2020,-5.62,-5.54,0.08,1.4
AAP,2020-11-10,Sep 2020,2.63,2.81,0.18,6.8
AAPL,2020-10-29,Sep 2020,0.69,0.73,0.04,5.8
ABBV,2020-10-30,Sep 2020,2.75,2.83,0.08,2.9
ABC,2020-11-05,Sep 2020,1.87,1.89,0.02,1
ABMD,2020-10-29,Sep 2020,0.87,1.01,0.14,16
ABT,2020-10-21,Sep 2020,0.9,0.98,0.08,8.8
ACAD,2020-11-04,Sep 2020,-0.38,-0.54,-0.16,-42.1
ACC,2020-10-26,Sep 2020,0.3,0.32,0.02,6.6
ACGL,2020-10-29,Sep 2020,0.25,0.29,0.04,16
ACHC,2020-10-29,Sep 2020,0.55,0.68,0.13,23.6
ACI,2020-10-20,Aug 2020,0.27,0.6,0.33,122.2
ACM,2020-11-16,Sep 2020,0.57,0.6,0.03,5.2
ACN,2020-09-24,Aug 2020,1.74,1.7,-0.04,-2.3
ADBE,2020-09-15,Aug 2020,2.4,2.57,0.17,7
ADI,2020-11-24,Oct 2020,1.32,1.44,0.12,9
ADM,2020-10-29,Sep 2020,0.71,0.89,0.18,25.3
ADP,2020-10-28,Sep 2020,0.97,1.41,0.44,45.3
ADPT,2020-11-10,Sep 2020,-0.28,-0.27,0.01,3.5
ADS,2020-10-29,Sep 2020,2.28,3.45,1.17,51.3
ADSK,2020-11-24,Oct 2020,0.95,1.04,0.09,9.4
ADT,2020-11-05,Sep 2020,0.13,-0.08,-0.21,-161.5
AEE,2020-11-04,Sep 2020,1.44,1.47,0.03,2
AEP,2020-10-22,Sep 2020,1.46,1.47,0.01,0.6
AES,2020-11-06,Sep 2020,0.43,0.42,-0.01,-2.3
AFG,2020-10-28,Sep 2020,1.55,2.45,0.9,58
AFL,2020-10-27,Sep 2020,1.12,1.39,0.27,24.1
AGCO,2020-11-03,Sep 2020,1.02,2.09,1.07,104.9
AGIO,2020-11-05,Sep 2020,-1.4,-1.43,-0.03,-2.1
AGNC,2020-10-26,Sep 2020,0.57,0.81,0.24,42.1
AGR,2020-10-20,Sep 2020,0.41,0.32,-0.09,-21.9
AIG,2020-11-05,Sep 2020,0.62,0.81,0.19,30.6
AIV,2020-10-29,Sep 2020,0.73,0.76,0.03,4.1
AIZ,2020-11-02,Sep 2020,0.94,1.41,0.47,50
AJG,2020-10-29,Sep 2020,0.9,1.08,0.18,20
AKAM,2020-10-27,Sep 2020,1.23,1.31,0.08,6.5
AL,2020-11-09,Sep 2020,1.03,1.02,-0.01,-0.9
ALB,2020-11-04,Sep 2020,0.78,1.09,0.31,39.7
ALGN,2020-10-21,Sep 2020,0.59,2.25,1.66,281.3
ALK,2020-10-22,Sep 2020,-2.86,-3.23,-0.37,-12.9
ALKS,2020-10-29,Sep 2020,-0.01,0.26,0.27,2700
ALL,2020-11-04,Sep 2020,1.77,2.94,1.17,66.1
ALLE,2020-10-22,Sep 2020,1.2,1.67,0.47,39.1
ALLY,2020-10-16,Sep 2020,0.72,1.25,0.53,73.6
ALNY,2020-11-05,Sep 2020,-1.75,-2.18,-0.43,-24.5
ALSN,2020-10-28,Sep 2020,0.46,0.68,0.22,47.8
ALXN,2020-10-29,Sep 2020,2.59,3.24,0.65,25.1
AM,2020-10-28,Sep 2020,0.23,0.25,0.02,8.7
